timestamp,user_id,username,action,resource,resource_sensitivity,status,source_ip,time_classification,hour_of_day,day_of_month,is_weekend,is_after_hours,rowcount,is_bulk,destination,is_external_dest,user_dept,resource_dept,is_cross_dept,department,sensitivity_encoded,is_restricted_to_external,access_method,is_anomaly,anomaly_type,severity,explanation,rowcount_zscore,action_encoded,bulk_and_external,sensitive_external,afterhours_sensitive,weekend_sensitive_ext,crossdept_offhours_sens,if_score,risk_score,predicted_anomaly
2025-04-20 13:02:00,USR00173,christopher.meyer,admin_operation,HRIS,high,success,192.168.73.220,business_hours,13,20,1,0,100,0,local_workstation,0,Compliance,HR,1,Compliance,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS,MEDIUM,"Event anomaly: CROSS_DEPT_HIGH_OFFHOURS. Action=admin_operation, Dest=local_workstation, Rows=100, Hour=13",0.020487244259166055,0,0,0,0,0,1,33.9,53.9,1
2025-04-22 05:48:00,USR00046,deepika.li,sql_query,Data_Lake,medium,success,192.168.127.154,business_hours,5,22,0,1,360,0,local_workstation,0,Support,IT,1,Support,1,0,standard,0,NORMAL,LOW,Normal event pattern.,-0.5771554952388358,5,0,0,0,0,0,32.0,37.0,0
2025-04-22 15:52:00,USR00200,joseph.guo,export_data,Data_Lake,medium,success,192.168.45.173,business_hours,15,22,0,0,152,0,local_workstation,0,Compliance,IT,1,Compliance,1,0,standard,0,NORMAL,LOW,Normal event pattern.,-0.4489935504576534,2,0,0,0,0,0,5.5,5.5,0
2025-04-23 03:32:00,USR00021,rohan.harris,admin_operation,BI_Tool,low,success,192.168.107.56,business_hours,3,23,0,1,131,0,local_workstation,0,Marketing,IT,1,Marketing,0,0,standard,0,NORMAL,MEDIUM,Normal event pattern.,-1.565664487319863,0,0,0,0,0,0,46.0,46.0,0
2025-04-24 16:05:00,USR00164,anjali.sun,api_call,File_Share,low,success,192.168.117.89,business_hours,16,24,0,0,150,0,local_workstation,0,Engineering,IT,1,Engineering,0,0,standard,0,NORMAL,LOW,Normal event pattern.,-0.3317014682581505,1,0,0,0,0,0,18.6,18.6,0
2025-04-25 10:45:00,USR00096,edward.thomas,api_call,HRIS,high,success,192.168.150.182,unusual_hours,10,25,0,0,309,0,local_workstation,0,Operations,HR,1,Operations,2,0,standard,0,NORMAL,LOW,Normal event pattern.,1.0,1,0,0,0,0,0,4.6,4.6,0
2025-04-28 00:44:00,USR00059,thomas.lewis,file_access,File_Share,low,success,192.168.196.37,unusual_hours,0,28,0,1,258,0,local_workstation,0,Finance,IT,1,Finance,0,0,standard,0,NORMAL,LOW,Normal event pattern.,-0.6439810566530672,3,0,0,0,0,0,38.4,38.4,0
2025-04-28 01:31:00,USR00299,leila.lee,export_data,Email_Archive,medium,success,192.168.46.89,night,1,28,0,1,344,0,cloud_storage,1,Finance,IT,1,Finance,1,0,standard,0,NORMAL,MEDIUM,Normal event pattern.,1.4948340772930133,2,0,0,0,0,0,54.0,59.0,0
2025-04-29 22:34:00,USR00028,paul.singh,file_access,Data_Lake,medium,success,192.168.208.90,business_hours,22,29,0,1,492,0,local_workstation,0,HR,IT,1,HR,1,0,standard,0,NORMAL,MEDIUM,Normal event pattern.,0.757561590690246,3,0,0,0,0,0,36.8,41.8,0
2025-04-30 02:52:00,USR00210,charles.lopez,file_access,GL_System,high,success,192.168.108.223,business_hours,2,30,0,1,414,0,local_workstation,0,Security,Finance,1,Security,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS,CRITICAL,"Event anomaly: CROSS_DEPT_HIGH_OFFHOURS. Action=file_access, Dest=local_workstation, Rows=414, Hour=2",0.7664229219791375,3,0,0,1,0,1,53.8,93.8,1
