timestamp,user_id,username,action,resource,resource_sensitivity,status,source_ip,time_classification,hour_of_day,day_of_month,is_weekend,is_after_hours,rowcount,is_bulk,destination,is_external_dest,user_dept,resource_dept,is_cross_dept,department,sensitivity_encoded,is_restricted_to_external,access_method,is_anomaly,anomaly_type,severity,explanation,rowcount_zscore,action_encoded,bulk_and_external,sensitive_external,afterhours_sensitive,weekend_sensitive_ext,crossdept_offhours_sens,if_score,risk_score,predicted_anomaly
2025-05-03 00:48:00,USR00150,daniel.wagner,login,HRIS,high,success,192.168.65.82,business_hours,0,3,1,1,386,0,local_workstation,0,Security,HR,1,Security,2,0,standard,0,NORMAL,CRITICAL,Normal event pattern.,0.7072602831488871,4,0,0,1,0,1,62.4,100.0,1
2025-05-21 14:25:00,USR00252,nadia.singh,sql_query,GL_System,high,failure,192.168.32.148,business_hours,14,21,0,0,11000,1,local_workstation,0,Finance,Finance,0,Finance,2,0,standard,1,BULK_HIGH_SENSITIVITY,CRITICAL,"Event anomaly: BULK_HIGH_SENSITIVITY. Action=sql_query, Dest=local_workstation, Rows=11000, Hour=14",1.7311584067680696,5,0,0,0,0,0,72.6,100.0,1
2025-10-19 00:48:00,USR00082,arjun.hwang,export_data,Customer_Vault,high,success,192.168.236.181,business_hours,0,19,1,1,15000,1,usb_drive,1,Legal,Sales,1,Legal,2,1,standard,1,EARLY_HOURS_SENSITIVE|RESTRICTED_TO_EXTERNAL|BULK_TO_EXTERNAL_DEVICE|CROSS_DEPT_HIGH_OFFHOURS|AFTER_HOURS_SENSITIVE_ACTION|WEEKEND_EXPORT_EXTERNAL|BULK_HIGH_SENSITIVITY,HIGH,"Event anomaly: BULK_TO_EXTERNAL_DEVICE. Action=export_data, Dest=usb_drive, Rows=15000, Hour=0",1.0,2,1,1,1,1,1,99.6,100.0,1
2025-11-09 00:15:00,USR00036,nicholas.harris,sql_query,PROD_DB,high,success,192.168.198.42,business_hours,0,9,1,1,5000,0,local_workstation,0,Marketing,Engineering,1,Marketing,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS,CRITICAL,"Event anomaly: CROSS_DEPT_HIGH_OFFHOURS. Action=sql_query, Dest=local_workstation, Rows=5000, Hour=0",1.3477448612648748,5,0,0,1,0,1,70.5,100.0,1
2025-10-08 21:50:00,USR00214,ryan.sanchez,export_data,HRIS,high,success,192.168.24.191,business_hours,21,8,0,1,100000,1,external_email,1,Engineering,HR,1,Engineering,2,1,standard,1,RESTRICTED_TO_EXTERNAL|BULK_TO_EXTERNAL_DEVICE|CROSS_DEPT_HIGH_OFFHOURS|AFTER_HOURS_SENSITIVE_ACTION|BULK_HIGH_SENSITIVITY,CRITICAL,"Event anomaly: BULK_TO_EXTERNAL_DEVICE. Action=export_data, Dest=external_email, Rows=100000, Hour=21",1.7320460243053424,2,1,1,1,0,1,97.2,100.0,1
2025-08-23 06:06:00,USR00176,nisha.sharma,export_data,Customer_Vault,high,success,192.168.89.16,business_hours,6,23,1,1,15000,1,cloud_storage,1,Finance,Sales,1,Finance,2,1,standard,1,RESTRICTED_TO_EXTERNAL|CROSS_DEPT_HIGH_OFFHOURS|AFTER_HOURS_SENSITIVE_ACTION|WEEKEND_EXPORT_EXTERNAL|BULK_HIGH_SENSITIVITY,HIGH,"Event anomaly: RESTRICTED_TO_EXTERNAL. Action=export_data, Dest=cloud_storage, Rows=15000, Hour=6",2.2221578261807506,2,1,1,1,1,1,99.0,100.0,1
2025-07-29 00:55:00,USR00011,maria.o'brien,sql_query,HRIS,high,success,192.168.83.227,business_hours,0,29,0,1,11000,1,local_workstation,0,Security,HR,1,Security,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS|BULK_HIGH_SENSITIVITY,CRITICAL,"Event anomaly: BULK_HIGH_SENSITIVITY. Action=sql_query, Dest=local_workstation, Rows=11000, Hour=0",1.4142130862580922,5,0,0,1,0,1,78.3,100.0,1
2025-08-03 00:51:00,USR00057,zainab.jo,api_call,HRIS,high,success,192.168.209.145,business_hours,0,3,1,1,190,0,local_workstation,0,Sales,HR,1,Sales,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS,CRITICAL,"Event anomaly: CROSS_DEPT_HIGH_OFFHOURS. Action=api_call, Dest=local_workstation, Rows=190, Hour=0",0.2157461805693634,1,0,0,1,0,1,61.1,100.0,1
2025-08-25 20:59:00,USR00158,arjun.sanchez,sql_query,Customer_Vault,high,success,192.168.246.25,night,20,25,0,0,11000,1,local_workstation,0,Compliance,Sales,1,Compliance,2,0,standard,1,BULK_HIGH_SENSITIVITY,CRITICAL,"Event anomaly: BULK_HIGH_SENSITIVITY. Action=sql_query, Dest=local_workstation, Rows=11000, Hour=20",2.2211933613290546,5,0,0,0,0,0,67.3,100.0,1
2025-07-18 01:08:00,USR00294,kenneth.colombo,sql_query,Customer_Vault,high,success,192.168.54.11,unusual_hours,1,18,0,1,11000,1,local_workstation,0,Executive,Sales,1,Executive,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS|BULK_HIGH_SENSITIVITY,CRITICAL,"Event anomaly: BULK_HIGH_SENSITIVITY. Action=sql_query, Dest=local_workstation, Rows=11000, Hour=1",1.731715322572278,5,0,0,1,0,1,77.8,100.0,1
2025-07-13 02:18:00,USR00181,george.smith,api_call,HRIS,high,success,192.168.176.19,business_hours,2,13,1,1,260,0,local_workstation,0,Marketing,HR,1,Marketing,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS,CRITICAL,"Event anomaly: CROSS_DEPT_HIGH_OFFHOURS. Action=api_call, Dest=local_workstation, Rows=260, Hour=2",0.4438991944502779,1,0,0,1,0,1,60.0,100.0,1
2025-07-12 22:39:00,USR00266,robert.thomas,admin_operation,HRIS,high,success,192.168.163.82,business_hours,22,12,1,1,106,0,local_workstation,0,Operations,HR,1,Operations,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS|AFTER_HOURS_SENSITIVE_ACTION,CRITICAL,"Event anomaly: AFTER_HOURS_SENSITIVE_ACTION. Action=admin_operation, Dest=local_workstation, Rows=106, Hour=22",-1.0,0,0,0,1,0,1,67.1,100.0,1
2025-07-09 22:35:00,USR00083,ryan.thomas,export_data,PROD_DB,high,success,192.168.142.101,business_hours,22,9,0,1,25000,1,cloud_storage,1,Marketing,Engineering,1,Marketing,2,1,standard,1,CROSS_DEPT_HIGH_OFFHOURS|BULK_HIGH_SENSITIVITY|RESTRICTED_TO_EXTERNAL|AFTER_HOURS_SENSITIVE_ACTION,HIGH,"Event anomaly: RESTRICTED_TO_EXTERNAL. Action=export_data, Dest=cloud_storage, Rows=25000, Hour=22",0.8905372266786179,2,1,1,1,0,1,94.0,100.0,1
2025-07-06 22:02:00,USR00087,aditya.taylor,login,Customer_Vault,high,success,192.168.1.235,business_hours,22,6,1,1,360,0,local_workstation,0,Marketing,Sales,1,Marketing,2,0,standard,0,NORMAL,CRITICAL,Normal event pattern.,0.6015727224009815,4,0,0,1,0,1,63.5,100.0,1
2025-09-24 01:23:00,USR00261,nikhil.thomas,export_data,PROD_DB,high,success,192.168.147.204,business_hours,1,24,0,1,25000,1,external_email,1,Marketing,Engineering,1,Marketing,2,1,standard,1,EARLY_HOURS_SENSITIVE|RESTRICTED_TO_EXTERNAL|BULK_TO_EXTERNAL_DEVICE|CROSS_DEPT_HIGH_OFFHOURS|AFTER_HOURS_SENSITIVE_ACTION|BULK_HIGH_SENSITIVITY,HIGH,"Event anomaly: BULK_TO_EXTERNAL_DEVICE. Action=export_data, Dest=external_email, Rows=25000, Hour=1",1.5622812213787596,2,1,1,1,0,1,92.8,100.0,1
2025-09-11 05:14:00,USR00209,nikhil.martinez,export_data,PROD_DB,high,success,192.168.189.88,unusual_hours,5,11,0,1,12000,1,cloud_storage,1,Operations,Engineering,1,Operations,2,1,standard,1,CROSS_DEPT_HIGH_OFFHOURS|BULK_HIGH_SENSITIVITY|RESTRICTED_TO_EXTERNAL|AFTER_HOURS_SENSITIVE_ACTION,HIGH,"Event anomaly: RESTRICTED_TO_EXTERNAL. Action=export_data, Dest=cloud_storage, Rows=12000, Hour=5",1.9980318191126103,2,1,1,1,0,1,91.9,100.0,1
2025-08-31 22:07:00,USR00091,steven.thompson,export_data,Customer_Vault,high,success,192.168.59.222,business_hours,22,31,1,1,25000,1,cloud_storage,1,Support,Sales,1,Support,2,1,standard,1,RESTRICTED_TO_EXTERNAL|CROSS_DEPT_HIGH_OFFHOURS|AFTER_HOURS_SENSITIVE_ACTION|WEEKEND_EXPORT_EXTERNAL|BULK_HIGH_SENSITIVITY,HIGH,"Event anomaly: RESTRICTED_TO_EXTERNAL. Action=export_data, Dest=cloud_storage, Rows=25000, Hour=22",1.964850528956122,2,1,1,1,1,1,99.8,100.0,1
2025-08-27 22:12:00,USR00101,paul.hoffmann,admin_operation,PROD_DB,high,success,192.168.243.236,business_hours,22,27,0,1,499,0,local_workstation,0,Finance,Engineering,1,Finance,2,0,standard,1,CROSS_DEPT_HIGH_OFFHOURS|AFTER_HOURS_SENSITIVE_ACTION,CRITICAL,"Event anomaly: AFTER_HOURS_SENSITIVE_ACTION. Action=admin_operation, Dest=local_workstation, Rows=499, Hour=22",0.9673121226544069,0,0,0,1,0,1,65.6,100.0,1
